Age,Embarked,Fare,Parch,Pclass,Sex,SibSp,Survived,date,rating,Initial,Name_length,Title,Family_Size,Name_scaled,Title2,Title_train,W_Master,Age_cut1,Age_band,CategoricalAge,FareCut,Fare_scale,Sex_bool,Has_Cabin,IsAlone,Embarkedch,Title2ch
22,0,7.25,0,3,0,1,0,03/23/2009,5,Mr,23,Mr,2,-0.434672231,Mr,1,1,2,0,"(16.136, 32.102]",0,7.25,0,0,0,1,2
38,1,71.2833,0,1,1,1,1,03/26/2015,3,Mrs,51,Mrs,2,2.511805781,Mrs,3,1,3,0,"(32.102, 48.068]",3,71.28,1,1,0,2,3
26,0,7.925,0,3,1,0,1,01/07/2007,3,Miss,22,Miss,1,-0.539903589,Miss,2,1,2,0,"(16.136, 32.102]",1,7.92,1,0,1,1,1
35,0,53.1,0,1,1,1,1,04/18/2005,4,Mrs,44,Mrs,2,1.775186278,Mrs,3,1,3,0,"(32.102, 48.068]",3,53.1,1,1,0,1,3
35,0,8.05,0,3,0,0,0,02/25/2009,5,Mr,24,Mr,1,-0.329440873,Mr,1,1,3,0,"(32.102, 48.068]",1,8.05,0,0,1,1,2
54,0,51.8625,0,1,0,0,0,06/04/2014,5,Mr,23,Mr,1,-0.434672231,Mr,1,1,4,0,"(48.068, 64.034]",3,51.86,0,1,1,1,2
2,0,21.075,1,3,0,3,0,07/06/2015,5,Master,30,Master,5,0.301947272,Master,4,0,1,0,"(0.0902, 16.136]",2,21.07,0,0,0,1,0
27,0,11.1333,2,3,1,0,1,11/22/2002,4,Mrs,49,Mrs,3,2.301343066,Mrs,3,1,2,0,"(16.136, 32.102]",1,11.13,1,0,0,1,3
14,1,30.0708,0,2,1,1,1,03/08/2004,4,Mrs,35,Mrs,2,0.82810406,Mrs,3,1,1,0,"(0.0902, 16.136]",2,30.07,1,0,0,2,3
4,0,16.7,1,3,1,1,1,09/12/2014,5,Miss,31,Miss,3,0.40717863,Miss,2,1,1,0,"(0.0902, 16.136]",2,16.7,1,1,0,1,1
58,0,26.55,0,1,1,0,1,03/24/2011,4,Miss,24,Miss,1,-0.329440873,Miss,2,1,4,0,"(48.068, 64.034]",2,26.55,1,1,1,1,1
20,0,8.05,0,3,0,0,0,09/17/2003,4,Mr,30,Mr,1,0.301947272,Mr,1,1,2,0,"(16.136, 32.102]",1,8.05,0,0,1,1,2
39,0,31.275,5,3,0,1,0,11/09/2012,4,Mr,27,Mr,7,-0.013746801,Mr,1,1,3,0,"(32.102, 48.068]",3,31.27,0,0,0,1,2
14,0,7.8542,0,3,1,0,0,03/08/2003,5,Miss,36,Miss,1,0.933335418,Miss,2,1,1,0,"(0.0902, 16.136]",0,7.85,1,0,1,1,1
55,0,16,0,2,1,0,1,04/14/2005,4,Mrs,32,Mrs,1,0.512409987,Mrs,3,1,4,0,"(48.068, 64.034]",2,16,1,0,1,1,3
2,2,29.125,1,3,0,4,0,05/25/2010,3,Master,20,Master,6,-0.750366304,Master,4,0,1,0,"(0.0902, 16.136]",2,29.12,0,0,0,3,0
31,0,18,0,3,1,1,0,12/08/2002,5,Mrs,55,Mrs,2,2.932731212,Mrs,3,1,2,0,"(16.136, 32.102]",2,18,1,0,0,1,3
35,0,26,0,2,0,0,0,08/04/2007,3,Mr,20,Mr,1,-0.750366304,Mr,1,1,3,0,"(32.102, 48.068]",2,26,0,0,1,1,2
34,0,13,0,2,0,0,1,04/26/2015,3,Mr,21,Mr,1,-0.645134946,Mr,1,1,3,0,"(32.102, 48.068]",1,13,0,1,1,1,2
15,2,8.0292,0,3,1,0,1,01/09/2011,5,Miss,27,Miss,1,-0.013746801,Miss,2,1,1,0,"(0.0902, 16.136]",1,8.03,1,0,1,3,1
28,0,35.5,0,1,0,0,1,07/13/2012,5,Mr,28,Mr,1,0.091484557,Mr,1,1,2,0,"(16.136, 32.102]",3,35.5,0,1,1,1,2
8,0,21.075,1,3,1,3,0,02/12/2015,3,Miss,29,Miss,5,0.196715914,Miss,2,1,1,0,"(0.0902, 16.136]",2,21.07,1,0,0,1,1
38,0,31.3875,5,3,1,1,1,10/08/2002,5,Mrs,57,Mrs,7,3.143193927,Mrs,3,1,3,0,"(32.102, 48.068]",3,31.39,1,0,0,1,3
19,0,263,2,1,0,3,0,04/10/2003,4,Mr,30,Mr,6,0.301947272,Mr,1,1,2,0,"(16.136, 32.102]",3,263,0,1,0,1,2
40,1,27.7208,0,1,0,0,0,08/09/2012,4,Don,24,Royalty,1,-0.329440873,Rare,5,1,3,0,"(32.102, 48.068]",2,27.72,0,0,1,2,4
